Team,Player_ID,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,GP,PER
Dallas Mavericks,1017760.0,137.0,24.0,44.0,2.711,15.0,28.0,2.7289999999999996,2.0,3.0,1.0,0.0,19.0,19.0,14.0,3.0,0.0,4.0,12.0,65.0,5.0,15.2
Dallas Mavericks,8142335.0,117.0,12.0,29.0,2.123,9.0,25.0,1.782,2.0,2.0,1.0,6.0,15.0,21.0,7.0,0.0,2.0,1.0,3.0,35.0,5.0,9.4
Dallas Mavericks,8139420.0,59.0,7.0,11.0,2.0,0.0,3.0,0.0,4.0,5.0,1.5,1.0,3.0,4.0,4.0,1.0,1.0,3.0,11.0,18.0,5.0,4.0
Dallas Mavericks,8145145.0,134.0,34.0,83.0,2.035,10.0,36.0,0.878,20.0,23.0,4.513999999999999,4.0,30.0,34.0,35.0,4.0,1.0,15.0,9.0,98.0,5.0,21.0
Dallas Mavericks,1013465.0,74.0,8.0,28.0,0.95,3.0,10.0,0.833,3.0,6.0,1.5,3.0,14.0,17.0,9.0,2.0,0.0,3.0,7.0,22.0,5.0,4.8
Denver Nuggets,8145040.0,145.0,39.0,73.0,2.488,20.0,42.0,2.287,9.0,9.0,2.0,5.0,20.0,25.0,7.0,7.0,0.0,10.0,10.0,107.0,5.0,20.4
Denver Nuggets,1017420.0,163.0,19.0,39.0,2.591,12.0,28.0,2.61,8.0,8.0,3.0,3.0,11.0,14.0,18.0,8.0,3.0,5.0,12.0,58.0,5.0,15.2
Denver Nuggets,1007995.0,86.0,10.0,18.0,1.821,0.0,0.0,0.0,6.0,13.0,2.0,15.0,26.0,41.0,5.0,1.0,2.0,6.0,7.0,26.0,5.0,10.8
Denver Nuggets,1013520.0,110.0,19.0,40.0,2.3419999999999996,12.0,31.0,1.9169999999999998,3.0,3.0,2.0,0.0,12.0,12.0,7.0,2.0,1.0,5.0,5.0,53.0,5.0,9.8
Denver Nuggets,1016000.0,163.0,25.0,49.0,2.487,17.0,36.0,2.22,5.0,7.0,2.167,2.0,17.0,19.0,8.0,0.0,5.0,4.0,11.0,72.0,5.0,14.8
Denver Nuggets,1019995.0,145.0,47.0,86.0,2.746,0.0,13.0,0.0,37.0,39.0,4.798,15.0,35.0,50.0,29.0,2.0,1.0,11.0,12.0,131.0,5.0,32.2
Denver Nuggets,8150960.0,44.0,6.0,13.0,1.929,4.0,7.0,1.5,0.0,0.0,0.0,1.0,8.0,9.0,4.0,2.0,0.0,0.0,3.0,16.0,5.0,4.8
Denver Nuggets,8138750.0,178.0,40.0,86.0,2.358,13.0,35.0,1.738,16.0,17.0,4.667,4.0,21.0,25.0,18.0,9.0,2.0,11.0,6.0,109.0,5.0,21.0
Denver Nuggets,8142135.0,90.0,13.0,25.0,2.003,3.0,9.0,0.75,3.0,5.0,2.0,3.0,9.0,12.0,4.0,2.0,0.0,2.0,4.0,32.0,5.0,6.8
Denver Nuggets,1019660.0,123.0,20.0,43.0,1.9769999999999999,2.0,11.0,1.0,2.0,3.0,1.0,8.0,14.0,22.0,9.0,4.0,0.0,4.0,4.0,44.0,5.0,10.2
Golden State Warriors,8138900.0,22.0,6.0,6.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,2.0,13.0,5.0,3.8
Golden State Warriors,1013545.0,138.0,27.0,52.0,2.652,5.0,13.0,1.5,5.0,5.0,3.0,2.0,12.0,14.0,27.0,5.0,3.0,9.0,12.0,64.0,5.0,15.8
Golden State Warriors,505540.0,154.0,39.0,65.0,3.0220000000000002,8.0,16.0,2.9530000000000003,10.0,11.0,3.75,0.0,18.0,18.0,48.0,6.0,2.0,11.0,16.0,96.0,5.0,26.4
Golden State Warriors,8130860.0,131.0,9.0,18.0,2.5170000000000003,0.0,0.0,0.0,6.0,10.0,2.25,13.0,38.0,51.0,12.0,0.0,1.0,3.0,16.0,24.0,5.0,14.4
Golden State Warriors,8145050.0,85.0,6.0,28.0,0.524,2.0,11.0,0.25,1.0,3.0,0.333,2.0,3.0,5.0,7.0,6.0,4.0,8.0,10.0,15.0,5.0,1.0
Golden State Warriors,1019835.0,95.0,14.0,36.0,1.541,2.0,10.0,0.583,12.0,15.0,2.5,3.0,14.0,17.0,6.0,5.0,0.0,4.0,9.0,42.0,5.0,8.2
Golden State Warriors,1019760.0,169.0,47.0,90.0,2.591,8.0,23.0,2.116,7.0,10.0,3.667,12.0,20.0,32.0,12.0,3.0,2.0,7.0,14.0,109.0,5.0,21.0
Golden State Warriors,1015550.0,174.0,20.0,37.0,2.667,5.0,11.0,1.583,12.0,13.0,4.5,4.0,34.0,38.0,52.0,9.0,3.0,12.0,9.0,57.0,5.0,25.8
Golden State Warriors,1009695.0,174.0,59.0,130.0,2.2640000000000002,30.0,80.0,1.7169999999999999,38.0,41.0,4.607,2.0,21.0,23.0,30.0,6.0,1.0,17.0,9.0,186.0,5.0,31.0
Houston Rockets,8144940.0,123.0,16.0,38.0,1.925,4.0,12.0,1.833,6.0,8.0,3.0,4.0,7.0,11.0,18.0,6.0,2.0,9.0,5.0,42.0,5.0,9.2
Houston Rockets,1017530.0,152.0,25.0,58.0,2.1350000000000002,8.0,25.0,1.584,13.0,19.0,3.5,3.0,16.0,19.0,20.0,9.0,3.0,16.0,17.0,71.0,5.0,13.4
Houston Rockets,8139160.0,200.0,35.0,101.0,1.672,17.0,54.0,1.5039999999999998,11.0,13.0,3.167,4.0,21.0,25.0,36.0,7.0,1.0,6.0,6.0,98.0,5.0,18.6
Houston Rockets,8151280.0,133.0,24.0,56.0,2.2800000000000002,8.0,20.0,2.267,12.0,18.0,2.75,8.0,18.0,26.0,26.0,1.0,2.0,12.0,16.0,68.0,5.0,14.6
Houston Rockets,8142075.0,167.0,42.0,95.0,2.206,9.0,29.0,1.601,14.0,20.0,3.548,5.0,12.0,17.0,17.0,7.0,4.0,6.0,16.0,107.0,5.0,17.4
